"from","to","action","reason","original_blob"
"demo/test/ai_compare.js","demo/test/reports/ai_compare.js","move","Reusable parameterized comparison report","2bbb334eae1e74cbef28a7b107ba52bc16adfda3"
"demo/test/attack_balance_compare.js","demo/test/milestone/v0.4.4/issues/95/attack_balance_compare.js","move","Issue-specific audit/comparison; original basename and evidence preserved","48ab47676813234ccc950fa3f51f3bc07773ea96"
"demo/test/harness.js","demo/test/shared/harness.js","move","Shared runtime loader","a76354e290311a2c7c2fc922d217f097369492ff"
"demo/test/issue104_cdp.js","demo/test/milestone/v0.4.4/issues/104/issue104_cdp.js","move","Issue-specific audit/comparison; original basename and evidence preserved","cac87d325be288588cf943721346f0b7bc4d9353"
"demo/test/issue106_browser_audit.js","demo/test/milestone/v0.4.4/issues/106/issue106_browser_audit.js","move","Issue-specific audit/comparison; original basename and evidence preserved","fdabfaf6f42bd400241066032573e7c1bd771f81"
"demo/test/issue106_cdp.js","demo/test/milestone/v0.4.4/issues/106/issue106_cdp.js","move","Issue-specific audit/comparison; original basename and evidence preserved","8547cd158ddf9b82e6a569b2b978d050737e3507"
"demo/test/issue114_cdp.js","demo/test/milestone/v0.4.5/issues/114/issue114_cdp.js","move","Issue-specific audit/comparison; original basename and evidence preserved","b18c89da5c1c836aa2e7ea9eed579da43568035a"
"demo/test/issue91_cdp.js","demo/test/milestone/v0.4.4/issues/91/issue91_cdp.js","move","Issue-specific audit/comparison; original basename and evidence preserved","57fb03c28874541d59fbd01aabf8f0ffda0ee3d7"
"demo/test/issue92_cdp.js","demo/test/milestone/v0.4.4/issues/92/issue92_cdp.js","move","Issue-specific audit/comparison; original basename and evidence preserved","ca76b3270834630cb6fd7f67c20bf497a685291c"
"demo/test/issue93_cdp.js","demo/test/milestone/v0.4.4/issues/93/issue93_cdp.js","move","Issue-specific audit/comparison; original basename and evidence preserved","febcfc9d1bb58aa3031f83c1b456135fb661b1cd"
"demo/test/issue95_cdp.js","demo/test/milestone/v0.4.4/issues/95/issue95_cdp.js","move","Issue-specific audit/comparison; original basename and evidence preserved","7dce904857515baf37966ffcee96912f122a84ee"
