row,col,x,y,z,u,v,pixel_x,pixel_y,zone,hex
"1","1","-1.8","0.1","-3.6","0.071429","0.961538","32","32","red","#5E2F3A"
"1","2","-1.2","0.1","-3.6","0.214286","0.961538","96","32","red","#5E2F3A"
"1","3","-0.6","0.1","-3.6","0.357143","0.961538","160","32","red","#5E2F3A"
"1","4","0","0.1","-3.6","0.5","0.961538","224","32","red","#5E2F3A"
"1","5","0.6","0.1","-3.6","0.642857","0.961538","288","32","red","#5E2F3A"
"1","6","1.2","0.1","-3.6","0.785714","0.961538","352","32","red","#5E2F3A"
"1","7","1.8","0.1","-3.6","0.928571","0.961538","416","32","red","#5E2F3A"
"2","1","-1.8","0.1","-3","0.071429","0.884615","32","96","red","#5E2F3A"
"2","2","-1.2","0.1","-3","0.214286","0.884615","96","96","red","#5E2F3A"
"2","3","-0.6","0.1","-3","0.357143","0.884615","160","96","red","#5E2F3A"
"2","4","0","0.1","-3","0.5","0.884615","224","96","red","#5E2F3A"
"2","5","0.6","0.1","-3","0.642857","0.884615","288","96","red","#5E2F3A"
"2","6","1.2","0.1","-3","0.785714","0.884615","352","96","red","#5E2F3A"
"2","7","1.8","0.1","-3","0.928571","0.884615","416","96","red","#5E2F3A"
"3","1","-1.8","0.1","-2.4","0.071429","0.807692","32","160","red","#5E2F3A"
"3","2","-1.2","0.1","-2.4","0.214286","0.807692","96","160","red","#5E2F3A"
"3","3","-0.6","0.1","-2.4","0.357143","0.807692","160","160","red","#5E2F3A"
"3","4","0","0.1","-2.4","0.5","0.807692","224","160","red","#5E2F3A"
"3","5","0.6","0.1","-2.4","0.642857","0.807692","288","160","red","#5E2F3A"
"3","6","1.2","0.1","-2.4","0.785714","0.807692","352","160","red","#5E2F3A"
"3","7","1.8","0.1","-2.4","0.928571","0.807692","416","160","red","#5E2F3A"
"4","1","-1.8","0.1","-1.8","0.071429","0.730769","32","224","forest","#23422F"
"4","2","-1.2","0.1","-1.8","0.214286","0.730769","96","224","forest","#23422F"
"4","3","-0.6","0.1","-1.8","0.357143","0.730769","160","224","forest","#23422F"
"4","4","0","0.1","-1.8","0.5","0.730769","224","224","forest","#23422F"
"4","5","0.6","0.1","-1.8","0.642857","0.730769","288","224","forest","#23422F"
"4","6","1.2","0.1","-1.8","0.785714","0.730769","352","224","forest","#23422F"
"4","7","1.8","0.1","-1.8","0.928571","0.730769","416","224","forest","#23422F"
"5","1","-1.8","0.1","-1.2","0.071429","0.653846","32","288","forest","#23422F"
"5","2","-1.2","0.1","-1.2","0.214286","0.653846","96","288","forest","#23422F"
"5","3","-0.6","0.1","-1.2","0.357143","0.653846","160","288","forest","#23422F"
"5","4","0","0.1","-1.2","0.5","0.653846","224","288","forest","#23422F"
"5","5","0.6","0.1","-1.2","0.642857","0.653846","288","288","forest","#23422F"
"5","6","1.2","0.1","-1.2","0.785714","0.653846","352","288","forest","#23422F"
"5","7","1.8","0.1","-1.2","0.928571","0.653846","416","288","forest","#23422F"
"6","1","-1.8","0.1","-0.6","0.071429","0.576923","32","352","center","#2B3140"
"6","2","-1.2","0.1","-0.6","0.214286","0.576923","96","352","center","#2B3140"
"6","3","-0.6","0.1","-0.6","0.357143","0.576923","160","352","center","#2B3140"
"6","4","0","0.1","-0.6","0.5","0.576923","224","352","center","#2B3140"
"6","5","0.6","0.1","-0.6","0.642857","0.576923","288","352","center","#2B3140"
"6","6","1.2","0.1","-0.6","0.785714","0.576923","352","352","center","#2B3140"
"6","7","1.8","0.1","-0.6","0.928571","0.576923","416","352","center","#2B3140"
"7","1","-1.8","0.1","0","0.071429","0.5","32","416","center","#2B3140"
"7","2","-1.2","0.1","0","0.214286","0.5","96","416","center","#2B3140"
"7","3","-0.6","0.1","0","0.357143","0.5","160","416","center","#2B3140"
"7","4","0","0.1","0","0.5","0.5","224","416","center","#2B3140"
"7","5","0.6","0.1","0","0.642857","0.5","288","416","center","#2B3140"
"7","6","1.2","0.1","0","0.785714","0.5","352","416","center","#2B3140"
"7","7","1.8","0.1","0","0.928571","0.5","416","416","center","#2B3140"
"8","1","-1.8","0.1","0.6","0.071429","0.423077","32","480","center","#2B3140"
"8","2","-1.2","0.1","0.6","0.214286","0.423077","96","480","center","#2B3140"
"8","3","-0.6","0.1","0.6","0.357143","0.423077","160","480","center","#2B3140"
"8","4","0","0.1","0.6","0.5","0.423077","224","480","center","#2B3140"
"8","5","0.6","0.1","0.6","0.642857","0.423077","288","480","center","#2B3140"
"8","6","1.2","0.1","0.6","0.785714","0.423077","352","480","center","#2B3140"
"8","7","1.8","0.1","0.6","0.928571","0.423077","416","480","center","#2B3140"
"9","1","-1.8","0.1","1.2","0.071429","0.346154","32","544","forest","#23422F"
"9","2","-1.2","0.1","1.2","0.214286","0.346154","96","544","forest","#23422F"
"9","3","-0.6","0.1","1.2","0.357143","0.346154","160","544","forest","#23422F"
"9","4","0","0.1","1.2","0.5","0.346154","224","544","forest","#23422F"
"9","5","0.6","0.1","1.2","0.642857","0.346154","288","544","forest","#23422F"
"9","6","1.2","0.1","1.2","0.785714","0.346154","352","544","forest","#23422F"
"9","7","1.8","0.1","1.2","0.928571","0.346154","416","544","forest","#23422F"
"10","1","-1.8","0.1","1.8","0.071429","0.269231","32","608","forest","#23422F"
"10","2","-1.2","0.1","1.8","0.214286","0.269231","96","608","forest","#23422F"
"10","3","-0.6","0.1","1.8","0.357143","0.269231","160","608","forest","#23422F"
"10","4","0","0.1","1.8","0.5","0.269231","224","608","forest","#23422F"
"10","5","0.6","0.1","1.8","0.642857","0.269231","288","608","forest","#23422F"
"10","6","1.2","0.1","1.8","0.785714","0.269231","352","608","forest","#23422F"
"10","7","1.8","0.1","1.8","0.928571","0.269231","416","608","forest","#23422F"
"11","1","-1.8","0.1","2.4","0.071429","0.192308","32","672","blue","#2F3A5E"
"11","2","-1.2","0.1","2.4","0.214286","0.192308","96","672","blue","#2F3A5E"
"11","3","-0.6","0.1","2.4","0.357143","0.192308","160","672","blue","#2F3A5E"
"11","4","0","0.1","2.4","0.5","0.192308","224","672","blue","#2F3A5E"
"11","5","0.6","0.1","2.4","0.642857","0.192308","288","672","blue","#2F3A5E"
"11","6","1.2","0.1","2.4","0.785714","0.192308","352","672","blue","#2F3A5E"
