kind,id,path,bytes,sha256,detail,w,h,slice_l,slice_t,slice_r,slice_b,tint,source,notes,source_sha256,priority,status
"battle","fire_atk","roblox/assets/minions/fire_atk/battle256.png","6460","9d7a39578f566dc5028f037300001e3bf724f5389b55605cc1b97934ebd37469","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/fire_atk/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","095e6519ae225795ca2109509f1f953a99ced028bb6c7cf071569bcff0735aad","P0-A","delivered"
"icon","fire_atk","roblox/assets/minions/fire_atk/icon64.png","1101","834bc34cd66bc31629ecda879cf443b3d66eb49953404b012ced1c329cedce43","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/fire_atk/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","7d6d6527153921246a0d69ff30570e86c020603affa4cccc65e58c7ca5bf08e9","P0-A","delivered"
"portrait","fire_atk","roblox/assets/minions/fire_atk/portrait512.png","248523","4b69ad34522ac76fea690bd2134ffde1cc8e9c23f46b535d3b4447d2e5b8ec9b","byte-copy512","512","512","","","","","no","demo/assets/minions/fire_atk/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","4b69ad34522ac76fea690bd2134ffde1cc8e9c23f46b535d3b4447d2e5b8ec9b","P0-A","delivered"
"battle","fire_def","roblox/assets/minions/fire_def/battle256.png","5090","0b193284c9ef1e2ce41a91d5ca58890e9e4e87d25bed9d8ff9f4073239ccc3c2","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/fire_def/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","0f8433dde4b6b1197ae2431366a8fc51bfe9223e90f40b30a878f2ec23842371","P0-A","delivered"
"icon","fire_def","roblox/assets/minions/fire_def/icon64.png","978","a14d4412df1d6db0f7a4ce0c1b0dd9db221c697fe7a1a6ce6d859ae4b191417c","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/fire_def/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","bd780d3cd3d0909447771be86b310215e4a674eb5b21bc04f1cbe0f8d6c7ac56","P0-A","delivered"
"portrait","fire_def","roblox/assets/minions/fire_def/portrait512.png","268859","f38dc4e1f029d9f30c3a7fe41381cdbc5df155422bd5daf9ff9c71c7d3f2e54d","byte-copy512","512","512","","","","","no","demo/assets/minions/fire_def/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","f38dc4e1f029d9f30c3a7fe41381cdbc5df155422bd5daf9ff9c71c7d3f2e54d","P0-A","delivered"
"battle","fire_std","roblox/assets/minions/fire_std/battle256.png","4885","644ac58299bd8ec5c6134fe3c938d02d728112eb31527bd6000fff60d8f36397","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/fire_std/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","c4a28434b53d8954e7876865077d82249a0df673c67692f3cf9fb28f3a1d9093","P0-A","delivered"
"icon","fire_std","roblox/assets/minions/fire_std/icon64.png","1112","93b3e8f088087166817d894ca7d4373e9d965061d4c82d1343ae9432df0e4855","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/fire_std/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","1780a298d11b8d09aad4ffaa2ca9db28ff6eebaa82456761d911c630b5921feb","P0-A","delivered"
"portrait","fire_std","roblox/assets/minions/fire_std/portrait512.png","250727","dbef4cc84db3e0edea96614d378eb2d336a6f0c4a614a032b32bb5005b78f149","byte-copy512","512","512","","","","","no","demo/assets/minions/fire_std/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","dbef4cc84db3e0edea96614d378eb2d336a6f0c4a614a032b32bb5005b78f149","P0-A","delivered"
"battle","fire_sustain","roblox/assets/minions/fire_sustain/battle256.png","4712","5086320559dfb16ec98498b5eca0800a92ebd99851ba1a057007ec806827758e","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/fire_sustain/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","3b3af4bfe76bc774447043e29c1b54341c22a5f07e243ce853e27dc7eb476e07","P0-A","delivered"
"icon","fire_sustain","roblox/assets/minions/fire_sustain/icon64.png","1161","7e4de67b1719a9934073ebf5ea2e2c4bb1b6d6b68bb715d84cc55a16a01b8fb2","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/fire_sustain/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","20f1822f532e4d44f651d41c6981b537e96061cfee7ced0c7c55e5c7220199bd","P0-A","delivered"
"portrait","fire_sustain","roblox/assets/minions/fire_sustain/portrait512.png","172912","3db83be95c85ec3197ab51c63d778ad758cbf48311a62c5e854188fbbb62719c","byte-copy512","512","512","","","","","no","demo/assets/minions/fire_sustain/portrait.png","P0-A;existing-approved-design;RGBA;no-redesign","3db83be95c85ec3197ab51c63d778ad758cbf48311a62c5e854188fbbb62719c","P0-A","delivered"
"battle","fire_swift","roblox/assets/minions/fire_swift/battle256.png","4807","ebdc64b89a60114dc1a664c62d8ea086bb223d5acb9063090baac4ebedb61598","nearest4x(grid64)","256","256","","","","","no","demo/assets/minions/fire_swift/battle-grid.png","P0-A;existing-approved-design;RGBA-before-nearest;no-redesign","7c3d67a0294c1754c209e2fd78c2b2e9d57d1fc811de9329452269d9372057a2","P0-A","delivered"
"icon","fire_swift","roblox/assets/minions/fire_swift/icon64.png","984","1d6d8c41dc6657cc107044a48dd57d5efe1646ad9aec0f81c65f8d2238462acd","nearest2x(native32)","64","64","","","","","no","demo/assets/minions/fire_swift/icon.png","P0-A;existing-approved-design;RGBA;no-redesign","c3bfd2ea7ce56a52c9125717cbe501fc38119cabd0cb6d63b4f8cad033f8d91c","P0-A","delivered"
